단품코드,항만_재고,부평_재고,내부창고_합계
SPRPG38KG110110,14,0,14
SPRPG38KG110120,40,0,40
SPRPG38KG110130,22,0,22
SPRPG38KG110140,36,0,36
SPRPG38KG110150,48,0,48
SPRPG38KG110160,40,0,40
SPRPG38KG1AA110,10,0,10
SPRPG38KG1AA120,46,0,46
SPRPG38KG1AA130,30,0,30
SPRPG38KG1AA140,20,0,20
SPRPG38KG1AA150,54,0,54
SPRPG38KG1AA160,56,0,56
SPRPG38KU110120,2,0,2
SPRPG38KU110160,6,0,6
SPRPG38KU119110,4,0,4
SPRPG38KU119120,10,0,10
SPRPG38KU119130,10,0,10
SPRPG38KU119140,10,0,10
SPRPG38KU119150,20,0,20
SPRPG38KU119160,20,0,20
SPRPG38KU210110,4,0,4
SPRPG38KU210120,14,0,14
SPRPG38KU210150,18,0,18
SPRPG38KU210160,20,0,20
SPRPG38KU219110,4,0,4
SPRPG38KU219120,14,0,14
SPRPG38KU219130,18,0,18
SPRPG38KU219140,16,0,16
SPRPG38KU219150,16,0,16
SPRPG38KU219160,20,0,20
SPRPG38KU310110,4,0,4
SPRPG38KU310120,8,0,8
SPRPG38KU310150,6,0,6
SPRPG38KU310160,20,0,20
SPRPG38KU319110,4,0,4
SPRPG38KU319120,10,0,10
SPRPG38KU319130,18,0,18
SPRPG38KU319140,16,0,16
SPRPG38KU319150,20,0,20
SPRPG38KU319160,20,0,20
SPRPGA9C7110095,144,0,144
SPRPGA9C7110100,272,0,272
SPRPGA9C7110105,70,0,70
SPRPGA9C7119090,2,0,2
SPRPGA9C71AA090,20,0,20
SPRPGA9C71AA095,54,0,54
SPRPGA9C71AA100,98,0,98
SPRPGA9C71AA105,34,0,34
SPRPGA9C71BD090,42,0,42
SPRPGA9C71BD095,202,0,202
SPRPGA9C71BD100,140,0,140
SPRPGA9C72BF095,2,0,2
SPRPGA9C7359100,6,0,6
SPRPGA9C7359105,4,0,4
SPRPGA9C7410090,86,0,86
SPRPGA9C7410095,86,0,86
SPRPGA9C7410100,86,0,86
SPRPGA9C7410105,72,0,72
SPRPGA9C7419090,22,0,22
SPRPGA9C7419095,44,0,44
SPRPGA9C7419100,94,0,94
SPRPGA9C7419105,50,0,50
SPRPGA9C8219095,6,0,6
SPRPGA9C8219105,4,0,4
SPRPGA9C8259105,2,2,4
SPRPGA9C8303100,2,0,2
SPRPGA9C8359090,2,0,2
SPRPGA9C83BD105,2,0,2
SPRPGA9C8459090,2,0,2
SPRPGA9KU110110,194,0,194
SPRPGA9KU110120,286,0,286
SPRPGA9KU110130,480,0,480
SPRPGA9KU110140,488,0,488
SPRPGA9KU110150,372,0,372
SPRPGA9KU110160,392,0,392
SPRPGA9KU119110,230,0,230
SPRPGA9KU119120,342,2,344
SPRPGA9KU119130,380,0,380
SPRPGA9KU119140,412,0,412
SPRPGA9KU119150,418,0,418
SPRPGA9KU119160,444,0,444
SPRPGA9KU210110,230,0,230
SPRPGA9KU210120,352,0,352
SPRPGA9KU210130,472,0,472
SPRPGA9KU210140,352,0,352
SPRPGA9KU210150,320,0,320
SPRPGA9KU210160,312,4,316
SPRPGA9KU2AC110,230,0,230
SPRPGA9KU2AC120,352,0,352
SPRPGA9KU2AC130,164,0,164
SPRPGA9KU2AC140,404,0,404
SPRPGA9KU2AC150,444,0,444
SPRPGA9KU2AC160,452,0,452
SPRPGA9KU310110,34,0,34
SPRPGA9KU310120,72,20,92
SPRPGA9KU310130,20,24,44
SPRPGA9KU310140,40,20,60
SPRPGA9KU310150,140,22,162
SPRPGA9KU310160,138,26,164
SPRPGA9KU319110,22,0,22
SPRPGA9KU319120,108,20,128
SPRPGA9KU319130,186,24,210
SPRPGA9KU319140,132,14,146
SPRPGA9KU319150,210,22,232
SPRPGA9KU319160,178,22,200
SPRPGA9KU410110,20,0,20
SPRPGA9KU410120,40,0,40
SPRPGA9KU410130,18,0,18
SPRPGA9KU410140,20,0,20
SPRPGA9KU410150,110,0,110
SPRPGA9KU410160,100,0,100
SPRPGA9KU419110,18,0,18
SPRPGA9KU419120,110,0,110
SPRPGA9KU419130,146,0,146
SPRPGA9KU419140,142,0,142
SPRPGA9KU419150,176,0,176
SPRPGA9KU419160,192,0,192
SPRSG24G0130085,224,0,224
SPRSG24G0130090,52,0,52
SPRSG24KG110140,2,0,2
SPRSG24KG115120,10,0,10
SPRSG24KG115130,8,0,8
SPRSG24KG1AC130,2,0,2
SPRSG24KG1AC140,2,0,2
SPRSG24KG1AC150,2,0,2
SPRSG24KG1AC160,2,0,2
SPRSG24KU150110,2,2,4
SPRSG24KU150120,2,2,4
SPRSG24KU150130,4,4,8
SPRSG24KU150140,4,8,12
SPRSG24KU150150,4,4,8
SPRSG24KU150160,6,6,12
SPRSG24KU1AC150,16,2,18
SPRSG24KU229110,6,0,6
SPRSG24KU250110,4,0,4
SPRSG24KU250150,2,0,2
SPRSG24KU259140,90,0,90
SPRSG24KU285150,2,0,2
SPRSG24KU3AC120,2,10,12
SPRSG25C0303095,6,18,24
SPRSG25C0485100,392,8,400
SPRSG25C0485105,430,6,436
SPRSG37C1059090,96,62,158
SPRSG37C1059095,22,102,124
SPRSG37C1059100,148,102,250
SPRSG37C1059105,384,28,412
SPRSG37KG125120,28,0,28
SPRSG37KG125130,10,0,10
SPRSG37KG125140,22,0,22
SPRSG37KG125150,128,0,128
SPRSG37KG125160,124,0,124
SPRSG37KG150120,16,0,16
SPRSG37KG150130,50,0,50
SPRSG37KG150140,68,0,68
SPRSG37KG150150,138,0,138
SPRSG37KG150160,168,0,168
SPRSG37KU129120,30,0,30
SPRSG37KU129130,20,0,20
SPRSG37KU129140,28,0,28
SPRSG37KU129150,50,0,50
SPRSG37KU129160,18,0,18
SPRSG37KU159140,4,0,4
SPRSG37KU159150,6,0,6
SPRSG37KU159160,12,0,12
SPRSG37KU215120,22,0,22
SPRSG37KU215130,42,0,42
SPRSG37KU215140,186,0,186
SPRSG37KU215150,160,0,160
SPRSG37KU215160,144,0,144
SPRSG37KU239120,22,0,22
SPRSG37KU239130,22,0,22
SPRSG37KU239140,52,0,52
SPRSG37KU239150,40,0,40
SPRSG37KU239160,76,0,76
SPRSG37KU240120,20,0,20
SPRSG37KU240130,28,0,28
SPRSG37KU240140,80,0,80
SPRSG37KU240150,88,0,88
SPRSG37KU240160,56,0,56
SPRSG37KU259120,18,0,18
SPRSG37KU259130,38,0,38
SPRSG37KU259140,34,0,34
SPRSG37KU259150,28,0,28
