브랜드,시즌,스타일,스타일명,아이템,아이템명,판매가
CV,G1,CVJLG1102M,덤블 자켓,JL,점퍼,"79,900"
CV,G1,CVJLG1201M,스웨이드 자켓,JL,점퍼,"129,000"
CV,G1,CVJLG1201Q,숏 스웨이드 자켓,JL,점퍼,"99,900"
CV,G1,CVJLG1202Q,스웨이드 블루종,JL,점퍼,"99,900"
CV,G4,CVJLG4901M,스웨이드 블루종,JL,점퍼,"129,000"
CV,G4,CVJLG4T01M,숏 스웨이드 자켓,JL,점퍼,0
CV,G4,CVJLG4T02M,하이넥 스웨이드 블루종,JL,점퍼,0
CV,G4,CVJLG4T03M,덤블 자켓,JL,점퍼,0
CV,E1,CVJPE1101Q,허리스트링 카라형 퀼팅점퍼,JP,점퍼,"99,900"
CV,E2,CVJPE2301M,롱 후드 점퍼,JP,점퍼,"129,000"
CV,E2,CVJPE2302M,허리스트링 후드 점퍼,JP,점퍼,"99,900"
CV,E2,CVJPE2401M,숏 후드 점퍼,JP,점퍼,"99,900"
CV,E2,CVJPE2402M,하이넥 점퍼,JP,점퍼,"99,900"
CV,E2,CVJPE2501M,빅포켓 숏 점퍼,JP,점퍼,"79,900"
CV,E3,CVJPE3801Q,스트링 집업 점퍼,JP,점퍼,"79,900"
CV,E4,CVJPE4T01M,배색 트리밍 퀼티드 자켓,JP,점퍼,"99,900"
CV,E4,CVJPE4T02M,카라형 퀼티드 자켓,JP,점퍼,"129,000"
CV,F2,CVJPF2301M,롱 후드 점퍼,JP,점퍼,"99,900"
CV,F2,CVJPF2401M,숏 블루종 점퍼,JP,점퍼,"99,900"
CV,F2,CVJPF2402M,오픈카라 스트링 점퍼,JP,점퍼,"99,900"
CV,F2,CVJPF2403M,스트링 점퍼,JP,점퍼,"99,900"
CV,F2,CVJPF2501M,숏 홑겹 점퍼,JP,점퍼,"79,900"
CV,F4,CVJPF4901M,카라배색 미디 워크자켓,JP,점퍼,"129,000"
CV,F4,CVJPF4902M,카라배색 숏 워크자켓,JP,점퍼,"79,900"
CV,F4,CVJPF4T01M,R넥 퀼팅 자켓,JP,점퍼,"99,900"
CV,F4,CVJPF4T02M,배색 카라 퀼팅 자켓,JP,점퍼,"129,000"
CV,F4,CVJPF4T03M,하이넥 포켓 숏 패딩점퍼,JP,점퍼,"129,000"
