단품코드,단품명,정상가,매출랭킹,온라인랭킹,출고율,온라인비중,누판율,주판율,주간외형매출,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기
SPTAG23M5119078,"히든밴딩 와이드 슬랙스, (19)Black, 78",18110,7694,7694,0.92,0.7,0.5,0.15,18110,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
SPTAG23M5119080,,19900,5004,5004,0.92,0.7,0.5,0.15,59700,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0
SPTAG23M5119082,"히든밴딩 와이드 슬랙스, (19)Black, 82",19402,6116,6116,0.92,0.7,0.5,0.15,38805,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0
SPTAG23M5119084,,19900,7432,7432,0.92,0.7,0.5,0.15,19900,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
SPTAG23M5119086,"히든밴딩 와이드 슬랙스, (19)Black, 86",0,9999,9999,0.92,0.7,0.5,0.15,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
SPTAG23M5119090,"히든밴딩 와이드 슬랙스, (19)Black, 90",0,9999,9999,0.92,0.7,0.5,0.15,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SPTAG23M5160074,,0,9999,9999,0.92,0.7,0.5,0.15,0,0,7,0,6,0,19,0,0,0,0,0,0,0,0,0,0
SPTAG23M5160078,"히든밴딩 와이드 슬랙스, (60)Charcoal, 78",19900,7433,7433,0.92,0.7,0.5,0.15,19900,1,0,0,1,0,17,0,0,0,0,0,0,1,0,0,0
SPTAG23M5160082,"히든밴딩 와이드 슬랙스, (60)Charcoal, 82",16655,4815,4815,0.92,0.7,0.5,0.15,66620,2,0,2,0,0,6,0,0,0,0,4,0,0,0,0,0
SPTAG23M5160086,"히든밴딩 와이드 슬랙스, (60)Charcoal, 86",0,9999,9999,0.92,0.7,0.5,0.15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SPTAG23M5160090,"히든밴딩 와이드 슬랙스, (60)Charcoal, 90",0,9999,9999,0.92,0.7,0.5,0.15,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
SPTAG23M5215074,"히든밴딩 슈퍼 와이드 슬랙스, (15)Gray, 74",23655,3843,3843,0.92,0.7,0.5,0.15,94620,1,0,0,14,0,30,0,0,0,0,2,0,2,0,0,0
SPTAG23M5215078,,36155,4555,4555,0.92,0.7,0.5,0.15,72310,0,5,0,13,0,26,0,0,0,0,1,0,0,0,1,0
SPTAG23M5215082,"히든밴딩 슈퍼 와이드 슬랙스, (15)Gray, 82",23655,3844,3844,0.92,0.7,0.5,0.15,94620,6,0,1,14,0,28,0,0,0,0,2,0,2,0,0,0
SPTAG23M5215086,,24900,5467,5467,0.92,0.7,0.5,0.15,49800,0,-1,0,3,0,23,0,0,0,0,0,0,2,0,0,0
SPTAG23M5215090,,24900,7111,7111,0.92,0.7,0.5,0.15,24900,0,0,0,2,0,22,0,0,0,0,0,0,1,0,0,0
SPTAG23M5217074,,24900,7112,7112,0.92,0.7,0.5,0.15,24900,0,2,0,6,0,28,0,0,0,0,0,0,1,0,0,0
SPTAG23M5217078,"히든밴딩 슈퍼 와이드 슬랙스, (17)Dark Gray",22410,3435,3435,0.92,0.7,0.5,0.15,112050,1,1,0,0,0,21,0,0,0,0,1,0,4,0,0,0
SPTAG23M5217082,,0,8407,8407,0.92,0.7,0.5,0.15,-24900,0,4,0,1,0,26,0,0,0,0,0,0,-1,0,0,0
SPTAG23M5217086,"히든밴딩 슈퍼 와이드 슬랙스, (17)Dark Gray",0,8408,8408,0.92,0.7,0.5,0.15,-24900,1,0,0,2,0,21,0,0,0,0,0,0,-1,0,0,0
SPTAG23M5217090,,49900,5416,5416,0.92,0.7,0.5,0.15,49900,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0
SPTAG23M5219074,,23095,3877,3877,0.92,0.7,0.5,0.15,92380,0,4,0,5,0,34,0,0,0,0,2,1,1,0,0,0
SPTAG23M5219078,"히든밴딩 슈퍼 와이드 슬랙스, (19)Black, 78",24900,7113,7113,0.92,0.7,0.5,0.15,24900,0,10,1,0,0,19,0,0,0,0,0,0,1,0,0,0
SPTAG23M5219082,"히든밴딩 슈퍼 와이드 슬랙스, (19)Black, 82",27277,2141,2141,0.92,0.7,0.5,0.15,218220,0,0,1,0,0,19,0,0,0,0,2,2,3,0,1,0
SPTAG23M5219086,,24900,7114,7114,0.92,0.7,0.5,0.15,24900,0,0,0,1,0,19,0,0,0,0,0,0,1,0,0,0
SPTAG23M5219090,,0,9999,9999,0.92,0.7,0.5,0.15,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
SPTAG23W0117064,"롱 와이드 슬랙스, (17)Dark Gray, 64",18655,4470,4470,0.92,0.7,0.5,0.15,74620,4,1,0,0,-1,5,0,0,0,0,2,0,2,0,0,0
