매출랭킹,온라인랭킹,단품코드,단품명,정상가,출고율,누판율,주판율,온라인비중,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버
7824,7824,SPRLG11U03CH105,"[헌터X헌터] 반팔 티셔츠, XL,",25900,1.0,0.9851,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U03CI090,"[헌터X헌터] 반팔 티셔츠, S, (",25900,0.9839,0.9032,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U03CI095,"[헌터X헌터] 반팔 티셔츠, M, (",25900,1.0,0.978,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U03CI100,"[헌터X헌터] 반팔 티셔츠, L, (",25900,0.9891,0.9891,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U03CI105,"[헌터X헌터] 반팔 티셔츠, XL,",25900,1.0,1.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0451090,[SPAO l 999HUMANITY],25900,0.8727,0.6909,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0451100,[SPAO l 999HUMANITY],25900,0.9683,0.7063,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U0451105,[SPAO l 999HUMANITY],25900,0.9706,0.8824,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U04B6090,[SPAO l 999HUMANITY],25900,1.0,0.2353,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U04B6095,[SPAO l 999HUMANITY],25900,0.973,0.1982,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U04B6100,[SPAO l 999HUMANITY],25900,0.9922,0.1406,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U04B6105,[SPAO l 999HUMANITY],25900,1.0,0.3,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPRLG11U04B7090,[SPAO l 999HUMANITY],25900,1.0,0.2182,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
